index,inf_prob,diag_prob,i0,behaviour_change,behaviour_change_rate,first_outbreak_size,vaccine_efficacy1,vaccine_efficacy2,infection_efficacy,replacement_percentage,permutation_percentage
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.72,0.84,0.9,0,0.1
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.72,0.84,0.9,0,0.2
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.72,0.84,0.9,0,0.3
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.72,0.84,0.9,0,0.4
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.72,0.84,0.9,0,0.5
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.72,0.84,0.9,0,0.6
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.72,0.84,0.9,0,0.7
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.72,0.84,0.9,0,0.8
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.72,0.84,0.9,0,0.9
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.72,0.84,0.9,0,1.0
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.89,0.91,0,0.1
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.89,0.91,0,0.2
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.89,0.91,0,0.3
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.89,0.91,0,0.4
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.89,0.91,0,0.5
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.89,0.91,0,0.6
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.89,0.91,0,0.7
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.89,0.91,0,0.8
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.89,0.91,0,0.9
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.89,0.91,0,1.0
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.83,0.89,0,0.1
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.83,0.89,0,0.2
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.83,0.89,0,0.3
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.83,0.89,0,0.4
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.83,0.89,0,0.5
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.83,0.89,0,0.6
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.83,0.89,0,0.7
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.83,0.89,0,0.8
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.83,0.89,0,0.9
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.83,0.89,0,1.0
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.83,0.9,0,0.1
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.83,0.9,0,0.2
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.83,0.9,0,0.3
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.83,0.9,0,0.4
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.83,0.9,0,0.5
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.83,0.9,0,0.6
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.83,0.9,0,0.7
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.83,0.9,0,0.8
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.83,0.9,0,0.9
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.83,0.9,0,1.0
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.81,0.82,0,0.1
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.81,0.82,0,0.2
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.81,0.82,0,0.3
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.81,0.82,0,0.4
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.81,0.82,0,0.5
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.81,0.82,0,0.6
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.81,0.82,0,0.7
1921.0,0.66839417035051,0.2951808820984422,15.0,0.09816134184621,0.0096228346921471,6825.0,0.68,0.81,0.82,0,0.8
