inf_rate,diag_prob,i0,behaviour_change,behaviour_change_rate
0.38,0.37,13.0,0.6,5e-05
0.17,0.25,12.0,0.7,0.0005
0.21,0.41,10.0,0.3,0.005
0.12,0.38,15.0,0.3,0.005
0.88,0.32,14.0,0.2,0.1
0.95,0.24,11.0,0.8,0.05
0.58,0.25,5.0,0.2,0.5
0.89,0.4,8.0,0.9,0.1
0.04,0.31,10.0,0.2,0.001
0.69,0.34,6.0,0.5,5e-05
0.42,0.26,5.0,0.5,0.0005
0.88,0.32,15.0,0.9,0.05
0.1,0.28,12.0,0.8,0.005
0.28,0.3,14.0,0.4,0.05
0.09,0.24,7.0,0.8,0.1
0.26,0.32,8.0,0.1,0.5
0.24,0.32,6.0,0.2,0.001
0.01,0.34,11.0,0.5,0.01
0.71,0.26,10.0,0.8,0.5
0.76,0.38,9.0,0.5,0.1
0.08,0.4,9.0,0.1,0.0005
0.97,0.4,15.0,0.8,0.0001
0.08,0.35,13.0,0.5,5e-05
0.13,0.25,14.0,0.9,0.0005
0.98,0.26,12.0,0.3,0.05
0.97,0.35,7.0,0.7,0.05
0.67,0.32,12.0,0.1,0.05
0.16,0.3,6.0,0.5,0.05
0.49,0.31,10.0,0.2,0.0005
0.98,0.3,9.0,0.1,0.1
0.62,0.34,14.0,0.6,0.1
0.97,0.35,8.0,0.2,0.005
0.44,0.31,13.0,0.9,0.0005
0.72,0.3,10.0,0.5,0.01
0.22,0.34,6.0,0.2,0.5
0.79,0.4,12.0,0.1,0.001
0.67,0.41,5.0,0.4,0.01
0.94,0.25,7.0,0.5,0.001
0.49,0.31,5.0,0.8,0.0005
0.32,0.38,15.0,0.9,0.001
0.33,0.34,9.0,0.3,5e-05
0.84,0.34,6.0,0.5,0.001
0.2,0.37,15.0,0.7,0.1
0.54,0.42,8.0,0.3,0.005
0.33,0.28,8.0,0.9,0.001
0.95,0.31,12.0,0.6,0.0001
0.88,0.24,15.0,0.3,0.5
0.99,0.41,6.0,0.5,5e-05
0.61,0.29,6.0,0.8,0.001
0.82,0.38,11.0,0.7,0.05
0.26,0.31,5.0,0.1,0.0005
0.63,0.38,14.0,0.7,5e-05
0.87,0.32,5.0,0.4,5e-05
0.93,0.28,15.0,0.5,0.1
0.15,0.42,10.0,0.4,0.5
0.89,0.24,11.0,0.8,0.01
0.85,0.35,15.0,0.6,0.0005
0.3,0.38,10.0,0.7,0.05
0.77,0.38,13.0,0.8,0.1
0.4,0.4,7.0,0.7,5e-05
0.7,0.26,6.0,0.9,0.01
0.74,0.29,14.0,0.2,0.0005
0.95,0.24,15.0,0.5,0.1
